nulo,51.8176229,53.0439391136,56.103415966,59.7233080864,64.9803960323,68.66482687,68.8924620152,60.46085299764286
lbdle2.+facts,73.7385959625,74.798774004,79.1698310375,91.6268870831,91.6439249516,93.8597159386,116.304313898,88.73457755361429
lbdle2.-facts,51.3316447735,62.8750870228,77.0069379807,77.0241770744,79.4208610058,88.9713377953,92.2109851837,75.54871869088572
lbdle3.+facts,59.8624780178,63.2744679451,67.7814421654,72.7487518787,74.1512770653,79.9128959179,93.214990139,72.99232901845714
lbdle3.-facts,57.9824111462,74.0259261131,74.2257299423,74.8657078743,78.1868591309,92.8300828934,111.681145906,80.54255185802857
lbdle4.+facts,69.0201880932,82.7255909443,89.8853340149,93.5825309753,98.3210802078,104.700062037,122.574836016,94.40137461264284
lbdle4.-facts,52.4243679047,63.0425310135,64.805642128,71.5487000942,78.3433039188,79.9282999039,91.6860160828,71.68269443512857
lbdle5.+facts,64.274917841,77.8977000713,83.8069140911,87.7957010269,89.4608719349,89.8631689548,124.090717077,88.16999871385714
lbdle5.-facts,57.013231039,58.135543108,63.4682230949,68.8884007931,76.6926960945,86.8137409687,87.2095630169,71.17448544501428
lbdle6.+facts,61.443821907,66.6029639244,71.6581828594,72.755245924,73.2636680603,84.0185689926,124.163727045,79.12945410181429
lbdle6.-facts,63.1025648117,64.6342477798,67.1833560467,73.8008270264,78.0000920296,78.1722280979,89.3408071995,73.46201757022858
onlyfacts,56.2145359516,57.6903069019,59.110337019,59.4661738873,72.9291439056,89.2018270493,99.8396749496,70.63599995204287
perc=0.01.+facts.+binary.+active,88.2077491283,93.1753017902,98.1830310822,105.018821955,108.48024416,118.216351032,159.786931038,110.15263288367143
perc=0.01.+facts.+binary.-active,59.0428090096,67.2174329758,69.7135791779,78.0603759289,86.449477911,89.9251918793,99.3035261631,78.53034186365714
perc=0.01.+facts.-binary.+active,63.2681531906,69.639950037,78.956690073,79.0505421162,105.005545855,113.640980959,148.88132,94.06331174725713
perc=0.01.+facts.-binary.-active,59.2237968445,68.5765619278,73.0359261036,73.1221690178,77.5434141159,79.1700041294,89.0278980732,74.24282431602857
perc=0.01.-facts.+binary.+active,54.7956650257,61.9462399483,63.2290840149,83.7817950249,84.2391080856,89.7849609852,97.5913910866,76.48117773874286
perc=0.01.-facts.+binary.-active,54.1719710827,58.1726930141,62.6248750687,63.8952338696,83.2100348473,89.7247078419,102.750649929,73.50716652189999
perc=0.01.-facts.-binary.+active,59.1166191101,62.1545269489,72.993391037,84.0212578773,88.6520328522,102.442609072,103.534820795,81.84503681321428
perc=0.01.-facts.-binary.-active,58.2053880692,58.8293778896,63.2489311695,64.4258160591,67.6409380436,74.8683750629,94.8058140278,68.86066290309999
perc=0.05.+facts.+binary.+active,88.5623180866,93.0876610279,94.4008460045,113.804761171,114.030966997,128.1368258,143.595154047,110.80264759057142
perc=0.05.+facts.+binary.-active,88.958616972,89.2660861015,92.1047849655,94.3702309132,98.4540770054,102.639030933,124.405344009,98.59973869994285
perc=0.05.+facts.-binary.+active,73.1182818413,87.9074401855,88.663175106,98.4388239384,103.898988008,108.414371014,127.649598837,98.29866841859999
perc=0.05.+facts.-binary.-active,67.9002149105,68.3250849247,72.9468419552,74.6123719215,77.8098261356,78.8466360569,87.9719030857,75.48755414144286
perc=0.05.-facts.+binary.+active,72.061478138,73.9140861034,82.2492969036,88.3014338017,88.9303820133,93.3928961754,126.946877003,89.39949287691427
perc=0.05.-facts.+binary.-active,62.9945068359,72.3448171616,72.8399720192,74.2678079605,77.1815001965,79.6589949131,79.9124531746,74.17143603734284
perc=0.05.-facts.-binary.+active,56.5922679901,69.7330870628,78.8369910717,82.5674118996,84.4899389744,99.9587728977,112.102360964,83.46869012289999
