nulo,91.2610299587,103.858052969,118.466135025,131.190661907,131.688453197,148.070300817,151.854920864,184.746243,457.395881176,490.002544165,200.85342230787
lbdle2.+facts,124.537945032,126.184865952,138.5987041,142.636024952,242.284298897,294.778609991,327.937963963,349.341797829,353.212146997,409.79822588,250.9310583593
lbdle2.-facts,77.6471471786,87.9308710098,117.454994917,122.002612114,142.17189908,152.477036953,169.785687208,353.706764936,366.637022018,389.736777067,197.95508124814
lbdle3.+facts,58.462526083,61.3582520485,116.389765024,142.343109131,219.43793416,268.498455048,288.397767067,310.326349974,354.612227917,509.686293125,232.95126795774996
lbdle3.-facts,92.3315989971,132.063862801,139.995141983,143.214822054,174.880147934,262.60573101,362.664224863,391.115052938,411.499686956,426.429080009,253.67993495451
lbdle4.+facts,86.4415678978,168.047482014,186.491517067,187.101588011,212.244895935,223.517393112,236.376810074,288.887849092,296.358285189,321.817642927,220.72850313188005
lbdle4.-facts,112.45886898,118.427718163,132.963690042,133.491095066,308.322243214,321.627016068,328.011411905,329.046828985,367.325392008,388.069391012,253.9743655443
lbdle5.+facts,111.640849113,137.690615892,162.437286854,179.228441,232.872856855,277.482944012,278.476828098,292.287468195,298.763745785,348.068307877,231.8949343681
lbdle5.-facts,97.0788397789,112.925367832,132.000735044,136.970098972,137.008095026,137.601661921,212.390378952,326.393361092,331.335726023,337.735037088,196.14393017288998
lbdle6.+facts,103.38299799,122.126325846,158.917721987,175.194288015,201.962089062,277.826905012,283.830379963,303.878391027,309.025980234,351.575181007,228.7720260143
lbdle6.-facts,62.2595639229,103.33591795,152.059956789,168.529978991,236.758391142,245.695951939,281.701488018,376.363584042,472.11570096,777.363644123,287.61841778768996
onlyfacts,114.806148052,116.330446005,138.275446892,151.3362391,164.415217876,169.761662006,193.500237942,349.852339983,392.85808897,437.739833117,222.8875659943
perc=0.01.+facts.+binary.+active,129.74472785,131.771302938,141.615545034,214.677265167,216.544803858,363.804236889,367.54041791,382.215113878,396.719455004,408.608322144,275.3241190672
perc=0.01.+facts.+binary.-active,57.0688478947,102.944396973,113.828314066,119.227224827,134.209164143,172.802719831,209.099092007,293.938111782,323.33887887,423.764204979,195.02209553727
perc=0.01.+facts.-binary.+active,49.10759902,66.6303629875,87.9647190571,129.316102982,156.953373194,194.026292086,197.201457977,204.605123997,308.797887087,389.107325077,178.37102434646
perc=0.01.+facts.-binary.-active,117.205757856,123.773394108,138.682111025,156.816596985,247.203267097,272.258227825,337.308291197,429.813848019,449.669574976,511.998884201,278.4729953289
perc=0.01.-facts.+binary.+active,98.9067850113,108.947134018,123.430066824,139.118558884,207.659580946,344.355547905,374.187496901,394.229745865,407.253373861,508.639753103,270.67280433183
perc=0.01.-facts.+binary.-active,69.8372149467,118.43780899,137.559808016,149.986774921,289.656774044,317.198270798,393.414294004,461.254702091,473.070247889,519.615641117,293.00315368166997
perc=0.01.-facts.-binary.+active,67.4432048798,118.715152979,133.46182704,144.685505867,149.52277112,152.364078045,164.779425144,254.468014956,403.472140074,758.938040972,234.78501610767998
perc=0.01.-facts.-binary.-active,114.570747137,132.093453884,143.109526157,164.21606493,214.768306017,248.494828939,307.355075836,441.908467054,494.210044146,556.853792906,281.7580307006
perc=0.05.+facts.+binary.+active,52.4693000317,123.995522976,167.64000988,189.937526941,291.745558023,314.429901838,366.906986952,374.518341064,413.520441055,449.38874197,274.45523307306996
perc=0.05.+facts.+binary.-active,72.3285830021,106.95265913,196.591889143,222.797858,339.830585003,340.036055088,368.902573109,416.599339962,456.511247873,466.505796909,298.70565872191
perc=0.05.+facts.-binary.+active,146.346688986,153.254938126,172.172647953,296.359158039,306.235966921,352.615919113,378.940425158,396.724143028,534.518087864,548.539923906,328.5707899094
perc=0.05.+facts.-binary.-active,119.606871843,124.154973984,156.684528112,176.728789091,241.530584097,321.851135015,368.079351187,574.221675158,672.954229832,794.67371583,355.0485854149
perc=0.05.-facts.+binary.+active,89.3872199059,114.863498211,146.35978508,164.315596104,182.087080002,202.333117008,344.365844965,358.736690044,473.923031807,564.555907011,264.09277701378994
