nulo,333.297864914,444.733541012,644.86857295,737.29457283,4724.24040699,1376.8869917391999
lbdle2.+facts,251.615433931,443.968168974,691.561486959,1228.45623112,1768.48494196,1863.14375496,1041.205002984
lbdle2.-facts,699.813278198,949.242370844,1007.63731599,1041.55928612,1082.13032794,1567.8529079,1058.039247832
lbdle3.+facts,684.138610125,1088.94946003,1638.1637609,1888.75609589,2456.93460703,2758.66242409,1752.6008263441665
lbdle3.-facts,397.258279085,772.854988098,837.61917305,947.367436886,1322.198874,2598.87098598,1146.0282895164999
lbdle4.+facts,582.123805046,1471.447191,1661.54714298,2079.57767177,2251.69140792,2793.87702894,1806.7107079426667
lbdle4.-facts,523.414232016,556.700362206,1123.01118588,1152.88080502,1184.56661201,1434.85892797,995.9053541836666
lbdle5.+facts,352.086593866,593.543745041,788.102664948,1328.92213893,2211.17628884,3083.58649492,1392.9029877575001
lbdle5.-facts,367.437252998,638.504962921,813.676743984,882.169518948,1018.8237679,1327.55206108,841.3607179718333
lbdle6.+facts,557.070058823,561.659743071,603.195410013,718.803565979,873.104346991,1354.12670517,777.9933050078333
lbdle6.-facts,547.31754899,568.881947994,624.600795984,874.701881886,1336.50084686,3317.18597603,1211.5314996240002
onlyfacts,688.624464989,812.482147932,1003.13605189,1338.80294299,3427.31148291,3784.21679401,1842.4289807868336
perc=0.01.+facts.+binary.+active,303.026591063,368.091338158,538.297569036,833.091274977,1069.64797282,2439.05644202,925.2018646789999
perc=0.01.+facts.+binary.-active,612.250167131,879.382825136,1118.89888,1138.67247486,1145.10564995,1382.3470881,1046.1095141961666
perc=0.01.+facts.-binary.+active,297.563550949,781.90596509,902.688693047,1553.75704908,2259.07056999,3349.10749602,1524.0155540293333
perc=0.01.+facts.-binary.-active,249.926024914,666.69352293,764.544564962,908.653700829,1273.28561902,8672.89570999,2089.3331904408333
perc=0.01.-facts.+binary.+active,422.995378017,499.848310947,528.079862118,707.510428905,862.216708899,1012.67954206,672.2217051576666
perc=0.01.-facts.+binary.-active,501.188506842,513.735646009,728.310896873,761.570802927,1147.89442515,2144.25415492,966.1590721201668
perc=0.01.-facts.-binary.+active,391.552771807,402.20946002,638.747909784,993.055018902,1007.54796386,1053.63094187,747.7906777071667
perc=0.01.-facts.-binary.-active,338.786875963,422.903934956,1033.250072,1178.62295508,1442.49608397,4088.90489697,1417.4941364898334
perc=0.05.+facts.+binary.+active,417.268220901,729.908703089,963.13510108,1224.1780479,1613.60475612,1716.5807662,1110.7792658816666
perc=0.05.+facts.+binary.-active,463.048224926,463.093862057,586.818579912,764.095526934,846.622186899,624.7356761456001
perc=0.05.+facts.-binary.+active,627.176505804,632.967929125,674.773741007,846.475489855,1902.31434989,936.7416031362
perc=0.05.+facts.-binary.-active,463.971880913,566.890341997,1147.65375996,1351.60443306,1918.74853706,4222.9767859,1611.9742898149998
perc=0.05.-facts.+binary.+active,402.271291018,448.764444828,481.839990139,542.105643988,691.783257961,1572.50542808,689.8783426690001
perc=0.05.-facts.+binary.-active,296.541500092,377.978158951,888.021346807,929.976958036,1758.51648808,7152.46284294,1900.5828824843331
perc=0.05.-facts.-binary.+active,418.573133945,491.736557961,744.174389839,751.315094948,2309.7997911,7684.98349309,2066.7637434805
perc=0.05.-facts.-binary.-active,566.491616011,657.574960947,742.390119076,958.51591301,1093.90005088,3191.76832485,1201.7734974623334
perc=0.1.+facts.+binary.+active,720.183431149,974.854612112,1299.30529404,2046.97730303,2327.98923802,6835.15681005,2367.4111147335
perc=0.1.+facts.+binary.-active,439.3585639,702.024338961,844.027761936,919.83848691,1039.82150888,1104.88667011,841.6595551161666
perc=0.1.+facts.-binary.+active,491.896319866,629.811179876,823.1348629,1228.78750014,1373.60919309,5853.0713439,1733.3850666286664
perc=0.1.+facts.-binary.-active,522.131800175,573.164988995,1014.33739305,1848.62070203,2021.62966013,1195.976908876
perc=0.1.-facts.+binary.+active,709.654639959,1217.93340683,1347.44969702,1576.50824594,2072.09836197,2393.44723201,1552.8485972881665
perc=0.1.-facts.+binary.-active,502.723045111,594.95855093,852.17531395,1078.98912001,1287.86051989,1381.67058897,949.7295231434999
perc=0.1.-facts.-binary.+active,644.510987997,653.46589303,1028.95167994,1177.38111997,1224.52280188,1253.09469008,996.9878621495
perc=0.1.-facts.-binary.-active,557.372029066,852.131382942,1134.74682379,1161.63538504,1224.25000906,1388.675493,1053.1351871496665
perc=0.15.+facts.+binary.+active,857.093547106,987.494777918,1017.04581118,1023.26790905,1203.00830507,1797.313241,1147.5372652206668
perc=0.15.+facts.+binary.-active,796.760190964,1037.58436894,1046.66968703,1348.07437015,1903.65196705,2398.16382194,1421.8174010123337
perc=0.15.+facts.-binary.+active,307.694279909,1097.24358797,1169.53378105,1518.20116115,1544.95519185,1552.00065517,1198.2714428498332
perc=0.15.+facts.-binary.-active,674.948940992,993.142015934,1319.852283,1411.86125779,1499.42239714,1947.71249914,1307.8232323326665
perc=0.15.-facts.+binary.+active,864.177633047,1033.93852711,1354.87643099,1880.155092,2100.14414477,14559.821965,3632.1856321528335
perc=0.15.-facts.+binary.-active,978.047597885,1064.60330296,1375.08628011,2061.05180001,2112.85817695,13215.5078449,3467.8591671358336
perc=0.15.-facts.-binary.+active,654.774030209,1512.51005292,2228.91991687,2402.64547086,2453.88292599,3554.46209908,2134.5324159881666
perc=0.15.-facts.-binary.-active,594.486097097,1392.04618096,1624.17228794,1914.09349608,3071.918262,3822.71650195,2069.9054710044998
perc=0.2.+facts.+binary.+active,809.37163496,1028.80847406,1144.20586014,1545.05541682,2256.59458995,2263.107898,1507.8573123216665
perc=0.2.+facts.+binary.-active,909.413518906,1192.68949199,1671.87838292,2184.91620898,7914.50276709,10933.5350239,4134.489232297667
perc=0.2.+facts.-binary.+active,573.267554998,1191.03867316,2090.11745191,2238.95100403,3039.11342096,16984.5994589,4352.847927326334
perc=0.2.+facts.-binary.-active,734.133427858,1162.90694213,1281.68409085,1723.83445907,6432.08022618,11343.3616471,3779.6667988646673
perc=0.2.-facts.+binary.+active,742.958813906,878.011079073,1211.11221194,1218.80109096,4278.96257997,10620.0998449,3158.324270124833
perc=0.2.-facts.+binary.-active,913.677347898,1344.47026014,1566.52852297,3449.80195403,3958.58911705,11373.1387749,3767.700996164667
perc=0.2.-facts.-binary.+active,762.606663942,996.687458038,1379.41038895,1414.01550198,2053.41837788,6958.51838088,2260.776128611667
perc=0.2.-facts.-binary.-active,1217.35022092,1359.15025592,1423.31500411,1687.36905313,2012.56373787,6158.01302314,2309.626882515
perc=1.0.+facts.+binary.+active,3041.16819882,3293.65377903,4824.25315809,7637.73912787,8232.82855201,5405.928563164
perc=1.0.-facts.+binary.+active,4289.220191,11749.5507622,19581.4869061,11873.419286433333
sizele2.+facts,411.621592999,446.482226849,582.860925913,699.382107973,1318.19218802,2396.45006609,975.8315179739999
sizele2.-facts,123.731598854,706.46627903,939.356908083,1456.57531786,1622.5613122,2499.21653819,1224.6513257028334
sizele3.+facts,313.61698103,447.489169836,766.982324839,1244.84664297,1296.52284002,1611.44670987,946.8174447608334
sizele3.-facts,296.437981844,882.42825985,1163.60136509,1244.71556592,2178.13866711,2614.54798198,1396.644970299
sizele4.+facts,428.843504906,609.247895956,713.431869984,713.699701071,1191.78982496,1524.34970903,863.5604176511666
sizele4.-facts,354.815227985,744.568764925,834.086035967,1529.44193697,1797.469347,2660.14273,1320.0873404745
sizele5.+facts,408.393157005,927.092722893,1008.57296801,1048.55259991,1324.06255198,1693.05813813,1068.2886896546668
sizele5.-facts,673.206558228,962.684250832,1593.9573431,1681.68717098,1699.16557693,1896.77513695,1417.9126728366666
sizele6.+facts,338.210626841,459.015538931,616.733366013,756.4667449,1032.41302586,1033.53027606,706.0615964341667
